dog_name,gender,breed,birth,colour,borough
Kc,Female,Akita,Mar-08,Brindle,Brooklyn
Lucy,Female,Akita,May-08,Tan,Staten Island
Roni,Male,Akita,May-08,Black,Queens
Shiro,Male,Akita,Sep-08,White,Manhattan
Rosky,Male,Akita,Oct-08,White,Bronx
Saijin,Male,Akita,Dec-08,White,Manhattan
Tank,Male,Akita,Dec-08,Black,Staten Island
Yuki,Female,Akita,Jan-09,Rust,Queens
Winston,Male,Akita,Feb-09,Fawn,Manhattan
Tobi,Male,Akita,May-09,Tan,Queens
Lacy,Female,Akita,Jun-09,Black,Bronx
Mink,Male,Akita,Jun-09,Orange,Queens
Gunny,Male,Akita,Jul-09,Black,Queens
Dogen,Male,Akita,Oct-09,White,Brooklyn
Chaka,Female,Akita,Dec-09,Brown,Queens
Jade,Female,Akita,Dec-09,White,Queens
Milo,Male,Akita,Dec-09,White,Queens
Max,Male,Akita,May-10,Fawn,Bronx
Roxy,Female,Akita,May-10,Fawn,Bronx
Junior,Male,Akita,Aug-10,Brown,Brooklyn
Lucky,Male,Akita,Aug-10,Fawn,Queens
Lana,Female,Akita,Sep-10,Black,Queens
Leo,Male,Akita,Sep-10,Black,Queens
Major,Male,Akita,Nov-10,Black,Manhattan
Sweetie,Female,Akita,Nov-10,Brown,Manhattan
Cruise,Male,Akita,Jan-11,Apricot,Brooklyn
Gucci,Male,Akita,Apr-11,White,Queens
N/A,Female,Akita,Oct-11,Fawn,Queens
Princess,Female,Akita,Oct-11,Red,Queens
Hope,Female,Akita,Nov-11,Brindle,Bronx
Willoughby,Male,Akita Crossbreed,Jan-97,Tan,Manhattan
Keyma,Female,Akita Crossbreed,Oct-97,Blond,Manhattan
Ben,Male,Akita Crossbreed,Jan-98,Brindle,Manhattan
Nikko,Male,Akita Crossbreed,Jan-98,Rust,Queens
Blondie,Female,Akita Crossbreed,Jan-99,Blond,Brooklyn
Six,Male,Akita Crossbreed,Jan-99,Tan,Brooklyn
Dina,Female,Akita Crossbreed,Jan-00,White,Bronx
Kato,Male,Akita Crossbreed,Jan-00,Black,Bronx
Obe,Male,Akita Crossbreed,Jan-00,Brown,Bronx
Chriton,Male,Akita Crossbreed,Jan-01,Black,Queens
Anastasia,Female,Akita Crossbreed,Jan-02,Brown,Staten Island
Kashima,Female,Akita Crossbreed,Jan-02,Brindle,Manhattan
Aponte,Male,Akita Crossbreed,Sep-02,Brindle,Queens
Wynter,Female,Akita Crossbreed,Nov-02,White,Queens
Skittles,Female,Akita Crossbreed,Jan-03,Brindle,Brooklyn
Anna,Female,Akita Crossbreed,Feb-03,Rust,Bronx
Buddy,Male,Akita Crossbreed,Jan-04,Black,Manhattan
Max,Male,Akita Crossbreed,Jan-06,Brown,Queens
Rocky,Male,Akita Crossbreed,Jan-06,Blue,Bronx
Smokey,Male,Akita Crossbreed,Jan-06,Black,Staten Island
Angel,Female,Akita Crossbreed,Feb-06,White,Queens
Diamond,Female,Akita Crossbreed,Feb-07,Gold,Queens
Evita,Female,Akita Crossbreed,Sep-07,White,Brooklyn
Moon,Female,Akita Crossbreed,Sep-07,White,Manhattan
April,Female,Akita Crossbreed,Jun-08,Rust,Brooklyn
Fred,Male,Akita Crossbreed,Aug-08,Black,Manhattan
Tank,Male,Akita Crossbreed,Dec-08,White,Manhattan
Lucky,Male,Akita Crossbreed,Mar-09,Black,Manhattan
Hangar,Male,Akita Crossbreed,Mar-10,Black,Manhattan
Askhim,Male,Akita Crossbreed,Jun-10,Brown,Brooklyn
Buddy,Male,Akita Crossbreed,Jun-10,Black,Brooklyn
Olivia,Female,Akita Crossbreed,Jun-10,Black,Brooklyn
Oso,Male,Akita Crossbreed,Jun-10,Black,Brooklyn
Ruger,Female,Akita Crossbreed,Aug-10,Blond,Manhattan
Achilles,Male,Akita Crossbreed,Jul-11,Brown,Staten Island
Theo,Male,Akita Crossbreed,Nov-11,Blond,Manhattan
Marco,Male,Akita Crossbreed,Jan-12,Gold,Queens
Amico,Male,American Eskimo dog,Jan-92,White,Staten Island
Tong,Male,American Eskimo dog,Jan-93,White,Brooklyn
Georgia,Female,American Eskimo dog,Jan-96,White,Manhattan
Missy,Female,American Eskimo dog,Jan-96,White,Bronx
Perry,Male,American Eskimo dog,Jan-96,White,Manhattan
Snowy,Male,American Eskimo dog,Jan-96,White,Manhattan
Angelique,Female,American Eskimo dog,Jan-97,White,Manhattan
Cisco,Male,American Eskimo dog,Jan-97,White,Queens
Dakota,Male,American Eskimo dog,Jan-97,White,Manhattan
Ivory,Female,American Eskimo dog,Jan-97,White,Manhattan
Lady,Female,American Eskimo dog,Jan-97,White,Staten Island
Scobby,Male,American Eskimo dog,Jan-97,White,Queens
Angel,Female,American Eskimo dog,Aug-97,White,Brooklyn
Fuzzball,Female,American Eskimo dog,Jan-98,White,Staten Island
Levi,Male,American Eskimo dog,Jan-98,White,Manhattan
Louis,Male,American Eskimo dog,Jan-98,White,Manhattan
Lucky,Male,American Eskimo dog,Jan-98,White,Brooklyn
Niki,Male,American Eskimo dog,Jan-98,White,Queens
Reilly,Female,American Eskimo dog,Jan-98,White,Manhattan
Tribute,Male,American Eskimo dog,Jan-98,White,Manhattan
Sully,Male,American Eskimo dog,May-98,White,Bronx
Charley,Male,American Eskimo dog,Jan-99,White,Manhattan
Deogee,Male,American Eskimo dog,Jan-99,White,Brooklyn
Greta,Female,American Eskimo dog,Jan-99,White,Manhattan
Honey,Female,American Eskimo dog,Jan-99,White,Bronx
Jj,Male,American Eskimo dog,Jan-99,White,Staten Island
Queenmargo,Female,American Eskimo dog,Jan-99,White,Brooklyn
Roxie,Female,American Eskimo dog,Jan-99,White,Manhattan
Mitzi,Female,American Eskimo dog,Nov-99,White,Queens
Jasmine,Female,American Eskimo dog,Dec-99,White,Manhattan
Angel,Female,American Eskimo dog,Jan-00,White,Staten Island
Cubby,Male,American Eskimo dog,Jan-00,White,Staten Island
Fluffy,Male,American Eskimo dog,Jan-00,White,Brooklyn
Malcolm,Male,American Eskimo dog,Jan-00,White,Queens
Misty,Female,American Eskimo dog,Jan-00,White,Staten Island
Nelson,Male,American Eskimo dog,Jan-00,White,Manhattan
Sheba,Female,American Eskimo dog,Jan-00,White,Manhattan
Snow,Female,American Eskimo dog,Jan-00,White,Staten Island
Sparky,Male,American Eskimo dog,Jan-00,White,Staten Island
Yuki,Female,American Eskimo dog,Jan-00,White,Queens
Chase,Male,American Eskimo dog,Jun-00,White,Queens
Spirit,Male,American Eskimo dog,Jun-00,White,Manhattan
Miko,Female,American Eskimo dog,Aug-00,White,Manhattan
Sasha,Female,American Eskimo dog,Nov-00,White,Manhattan
Eskomybudd,Male,American Eskimo dog,Jan-01,White,Staten Island
Gunther,Male,American Eskimo dog,Jan-01,White,Brooklyn
Jack,Male,American Eskimo dog,Jan-01,White,Staten Island
Leopold,Male,American Eskimo dog,Jan-01,White,Manhattan
Majey,Female,American Eskimo dog,Jan-01,White,Brooklyn
Princess,Female,American Eskimo dog,Jan-01,White,Bronx
Ricky,Male,American Eskimo dog,Jan-01,White,Queens
Snowbelle,Female,American Eskimo dog,Jan-01,White,Staten Island
Snowy,Female,American Eskimo dog,Jan-01,White,Manhattan
Syrie,Female,American Eskimo dog,Jan-01,White,Manhattan
Toby,Male,American Eskimo dog,Jan-01,White,Manhattan
Max,Male,American Eskimo dog,May-01,White,Queens
Smoke,Male,American Eskimo dog,Nov-01,White,Bronx
Abbey,Female,American Eskimo dog,Jan-02,White,Staten Island
Banjo,Male,American Eskimo dog,Jan-02,White,Queens
Cheche,Female,American Eskimo dog,Jan-02,White,Brooklyn
Lily,Female,American Eskimo dog,Jan-02,White,Brooklyn
Lucky,Male,American Eskimo dog,Jan-02,Brown,Bronx
Molly,Female,American Eskimo dog,Jan-02,Tan,Bronx
Spencer,Male,American Eskimo dog,Jan-02,White,Manhattan
Sam,Male,American Eskimo dog,Aug-02,White,Staten Island
Alfie,Male,American Eskimo dog,Jan-03,White,Staten Island
China,Female,American Eskimo dog,Jan-03,White,Brooklyn
Dice,Male,American Eskimo dog,Jan-03,White,Manhattan
Foxy,Female,American Eskimo dog,Jan-03,White,Queens
Lucy,Female,American Eskimo dog,Jan-03,White,Staten Island
Major,Male,American Eskimo dog,Jan-03,White,Queens
Nemo,Male,American Eskimo dog,Jan-03,White,Brooklyn
Nor,Male,American Eskimo dog,Jan-03,White,Queens
Peachie,Female,American Eskimo dog,Jan-03,White,Queens
Ruby,Female,American Eskimo dog,Jan-03,White,Manhattan
Snowy,Male,American Eskimo dog,Jan-03,White,Bronx
Tasha,Female,American Eskimo dog,Jan-03,White,Queens
Toga,Female,American Eskimo dog,Jan-03,White,Queens
Lucky,Male,American Eskimo dog,Jun-03,White,Staten Island
Cody,Male,American Eskimo dog,Jul-03,White,Staten Island
Angel,Female,American Eskimo dog,Oct-03,White,Manhattan
Balto,Male,American Eskimo dog,Oct-03,White,Bronx
Dakota,Female,American Eskimo dog,Oct-03,White,Staten Island
Snowball,Male,American Eskimo dog,Nov-03,White,Manhattan
Ice,Female,American Eskimo dog,Jan-04,White,Staten Island
Jenna,Female,American Eskimo dog,Jan-04,White,Manhattan
Koda,Male,American Eskimo dog,Jan-04,White,Staten Island
Littleduke,Male,American Eskimo dog,Jan-04,White,Bronx
Mandoo,Male,American Eskimo dog,Jan-04,Blond,Staten Island
Nina,Female,American Eskimo dog,Jan-04,White,Manhattan
Princess,Female,American Eskimo dog,Jan-04,White,Manhattan
Snowbell,Male,American Eskimo dog,Jan-04,White,Staten Island
Teddy,Male,American Eskimo dog,Jan-04,White,Staten Island
Toby,Male,American Eskimo dog,Jan-04,White,Queens
Nieves,Female,American Eskimo dog,Mar-04,White,Bronx
Willa,Female,American Eskimo dog,Mar-04,Black,Brooklyn
Cody,Male,American Eskimo dog,Apr-04,White,Brooklyn
Hugo,Male,American Eskimo dog,Jun-04,Cream,Brooklyn
Jasmine,Female,American Eskimo dog,Jun-04,White,Brooklyn
Lucky,Male,American Eskimo dog,Aug-04,White,Manhattan
Casanova,Male,American Eskimo dog,Oct-04,White,Manhattan
Lupa,Female,American Eskimo dog,Nov-04,White,Brooklyn
Snow,Male,American Eskimo dog,Dec-04,White,Brooklyn
Ah,Female,American Eskimo dog,Jan-05,White,Brooklyn
Bella,Female,American Eskimo dog,Jan-05,White,Queens
Belochka,Female,American Eskimo dog,Jan-05,White,Brooklyn
Bobby,Male,American Eskimo dog,Jan-05,White,Brooklyn
Misty,Male,American Eskimo dog,Jan-05,White,Brooklyn
Pico,Male,American Eskimo dog,Jan-05,White,Brooklyn
Prince,Male,American Eskimo dog,Jan-05,White,Staten Island
Sake,Female,American Eskimo dog,Jan-05,White,Queens
Sugar,Male,American Eskimo dog,Jan-05,White,Brooklyn
Brooklyn,Female,American Eskimo dog,May-05,Gray,Manhattan
Scotty,Male,American Eskimo dog,May-05,Apricot,Bronx
Rick,Male,American Eskimo dog,Jun-05,White,Staten Island
Lucky,Male,American Eskimo dog,Aug-05,White,Queens
Daisy,Female,American Eskimo dog,Oct-05,White,Staten Island
Neliak,Male,American Eskimo dog,Oct-05,White,Brooklyn
Snowy,Female,American Eskimo dog,Dec-05,White,Queens
Wolf,Male,American Eskimo dog,Dec-05,White,Bronx
Blanco,Male,American Eskimo dog,Jan-06,White,Staten Island
Joey,Male,American Eskimo dog,Jan-06,White,Queens
Joey,Male,American Eskimo dog,Jan-06,White,Staten Island
Kazi,Male,American Eskimo dog,Jan-06,White,Brooklyn
L J Lucky,Male,American Eskimo dog,Jan-06,White,Queens
N/A,Female,American Eskimo dog,Jan-06,White,Manhattan
Snoopy,Male,American Eskimo dog,Jan-06,White,Brooklyn
Snow,Female,American Eskimo dog,Jan-06,White,Brooklyn
Tiffany,Female,American Eskimo dog,Jan-06,White,Staten Island
Cleopatra,Female,American Eskimo dog,Mar-06,White,Manhattan
Snow,Male,American Eskimo dog,Apr-06,White,Queens
Alaska,Male,American Eskimo dog,May-06,White,Queens
Muki,Female,American Eskimo dog,Jun-06,White,Manhattan
Woofie,Male,American Eskimo dog,Sep-06,White,Queens
Q Tip,Female,American Eskimo dog,Oct-06,White,Queens
Eski,Female,American Eskimo dog,Nov-06,White,Staten Island
Cj,Female,American Eskimo dog,Jan-07,White,Bronx
Missy,Female,American Eskimo dog,Jan-07,White,Manhattan
Kodiak,Male,American Eskimo dog,Apr-07,White,Bronx
Sheba,Female,American Eskimo dog,Jun-07,White,Brooklyn
Blizzard,Male,American Eskimo dog,Jul-07,White,Manhattan
Rocky,Male,American Eskimo dog,Aug-07,White,Manhattan
Loki,Male,American Eskimo dog,Sep-07,White,Manhattan
Luna-Pearl,Female,American Eskimo dog,Nov-07,White,Staten Island
Mozart,Male,American Eskimo dog,Nov-07,White,Staten Island
Dorian,Male,American Eskimo dog,Dec-07,White,Staten Island
Emily,Female,American Eskimo dog,Dec-07,White,Manhattan
Chalutz,Male,American Eskimo dog,Jan-08,White,Staten Island
Olivia,Female,American Eskimo dog,Jan-08,White,Staten Island
Rocky,Male,American Eskimo dog,Feb-08,White,Brooklyn
Champ,Male,American Eskimo dog,Mar-08,Blond,Manhattan
Kiki,Female,American Eskimo dog,Mar-08,White,Manhattan
Juno,Male,American Eskimo dog,Apr-08,Tan,Manhattan
Luka,Male,American Eskimo dog,Apr-08,White,Manhattan
Snowie,Male,American Eskimo dog,Apr-08,White,Staten Island
Little,Female,American Eskimo dog,Jun-08,White,Manhattan
N/A,Female,American Eskimo dog,Jun-08,White,Queens
Jack,Male,American Eskimo dog,Aug-08,White,Queens
Lana,Female,American Eskimo dog,Aug-08,White,Queens
Toby,Male,American Eskimo dog,Oct-08,White,Manhattan
Champ/Champion,Male,American Eskimo dog,Dec-08,Tan,Bronx
Glacier,Female,American Eskimo dog,Dec-08,White,Manhattan
Mini,Female,American Eskimo dog,Dec-08,White,Queens
Calvin,Male,American Eskimo dog,Feb-09,White,Manhattan
Buddy,Male,American Eskimo dog,Mar-09,White,Manhattan
Princess,Female,American Eskimo dog,Mar-09,White,Queens
Kaidy,Female,American Eskimo dog,Apr-09,White,Bronx
Sparky,Male,American Eskimo dog,Apr-09,White,Staten Island
Da,Male,American Eskimo dog,May-09,White,Queens
Peaches,Female,American Eskimo dog,Jun-09,White,Manhattan
Zeus,Male,American Eskimo dog,Jun-09,White,Brooklyn
Ellie,Female,American Eskimo dog,Aug-09,Gold,Queens
Esco,Male,American Eskimo dog,Sep-09,White,Brooklyn
George,Male,American Eskimo dog,Oct-09,White,Manhattan
Baby,Female,American Eskimo dog,Nov-09,White,Queens
Kerry,Female,American Eskimo dog,Jan-10,White,Brooklyn
Messi,Male,American Eskimo dog,Jan-10,White,Bronx
Mochi,Male,American Eskimo dog,Jan-10,White,Manhattan
Schubert,Male,American Eskimo dog,Jan-10,White,Manhattan
Cloud,Male,American Eskimo dog,Feb-10,White,Queens
Nanuq,Male,American Eskimo dog,May-10,White,Staten Island
Snowball,Male,American Eskimo dog,May-10,White,Queens
Tag,Female,American Eskimo dog,Jun-10,White,Manhattan
Isabel,Female,American Eskimo dog,Jul-10,White,Manhattan
Snowy,Male,American Eskimo dog,Jul-10,White,Brooklyn
Casper,Male,American Eskimo dog,Oct-10,White,Manhattan
N/A,Male,American Eskimo dog,Jan-11,White,Staten Island
N/A,Male,American Eskimo dog,Jan-11,White,Manhattan
Sammie,Male,American Eskimo dog,Jan-11,White,Manhattan
Tosha,Female,American Eskimo dog,Jan-11,White,Queens
Brooklyn,Female,American Eskimo dog,Feb-11,White,Queens
Kaster,Male,American Eskimo dog,Feb-11,White,Brooklyn
Katie,Female,American Eskimo dog,Feb-11,White,Manhattan
Yuki,Female,American Eskimo dog,Mar-11,White,Queens
Ella,Female,American Eskimo dog,Apr-11,White,Staten Island
N/A,Female,American Eskimo dog,Apr-11,White,Brooklyn
Snoopy,Male,American Eskimo dog,May-11,White,Bronx
Flurry,Female,American Eskimo dog,Jun-11,White,Staten Island
N/A,Male,American Eskimo dog,Jun-11,White,Queens
N/A,Male,American Eskimo dog,Jun-11,White,Queens
N/A,Female,American Eskimo dog,Jun-11,White,Brooklyn
N/A,Female,American Eskimo dog,Jun-11,White,Manhattan
Ruby,Female,American Eskimo dog,Jun-11,White,Staten Island
N/A,Female,American Eskimo dog,Jul-11,White,Queens
N/A,Female,American Eskimo dog,Jul-11,White,Manhattan
N/A,Female,American Eskimo dog,Aug-11,White,Queens
N/A,Male,American Eskimo dog,Aug-11,White,Queens
N/A,Male,American Eskimo dog,Aug-11,White,Brooklyn
N/A,Male,American Eskimo dog,Aug-11,White,Bronx
Rocky,Male,American Eskimo dog,Aug-11,White,Brooklyn
Tuo,Female,American Eskimo dog,Aug-11,White,Queens
Mason,Male,American Eskimo dog,Sep-11,White,Manhattan
Max,Male,American Eskimo dog,Sep-11,White,Bronx
Sake,Female,American Eskimo dog,Oct-11,White,Manhattan
Snowflake,Female,American Eskimo dog,Nov-11,White,Bronx
Spock,Male,American Pit Bull Mix / Pit Bull Mix,Dec-92,Brindle,Queens
Pepe,Male,American Pit Bull Mix / Pit Bull Mix,Jan-97,Brown,Bronx
Daisy,Female,American Pit Bull Mix / Pit Bull Mix,Jan-98,Brown,Manhattan
Nasha,Female,American Pit Bull Mix / Pit Bull Mix,Oct-98,Black,Bronx
Hope,Female,American Pit Bull Mix / Pit Bull Mix,Jan-99,Fawn,Brooklyn
Sweetie,Female,American Pit Bull Mix / Pit Bull Mix,Jan-99,Brown,Manhattan
Tricky,Male,American Pit Bull Mix / Pit Bull Mix,Apr-99,White,Brooklyn
Apachie,Male,American Pit Bull Mix / Pit Bull Mix,May-99,Tan,Brooklyn
Brooklyn,Female,American Pit Bull Mix / Pit Bull Mix,Nov-99,White,Brooklyn
Bear,Male,American Pit Bull Mix / Pit Bull Mix,Jan-00,White,Bronx
Gypsy,Female,American Pit Bull Mix / Pit Bull Mix,Jan-00,Brindle,Queens
Gypsy,Female,American Pit Bull Mix / Pit Bull Mix,Jan-00,White,Manhattan
Prince,Male,American Pit Bull Mix / Pit Bull Mix,Jan-00,Tan,Brooklyn
Sharon,Male,American Pit Bull Mix / Pit Bull Mix,Jan-00,Brown,Queens
Mia,Female,American Pit Bull Mix / Pit Bull Mix,Mar-00,Black,Queens
Chocolate,Female,American Pit Bull Mix / Pit Bull Mix,Jul-00,Brown,Queens
Scout,Female,American Pit Bull Mix / Pit Bull Mix,Jul-00,Brindle,Brooklyn
Belize,Female,American Pit Bull Mix / Pit Bull Mix,Oct-00,Tan,Manhattan
Nikki,Female,American Pit Bull Mix / Pit Bull Mix,Jan-01,Brindle,Staten Island
Shaka,Male,American Pit Bull Mix / Pit Bull Mix,Jan-01,Black,Brooklyn
Chloe,Female,American Pit Bull Mix / Pit Bull Mix,May-01,Tan,Brooklyn
Zoe,Female,American Pit Bull Mix / Pit Bull Mix,May-01,Tan,Brooklyn
Destiny,Female,American Pit Bull Mix / Pit Bull Mix,Jul-01,Brindle,Brooklyn
Tyson,Male,American Pit Bull Mix / Pit Bull Mix,Aug-01,Black,Bronx
Chelsea,Female,American Pit Bull Mix / Pit Bull Mix,Sep-01,Brown,Queens
Precious,Female,American Pit Bull Mix / Pit Bull Mix,Oct-01,Rust,Brooklyn
Smokey,Male,American Pit Bull Mix / Pit Bull Mix,Nov-01,Brindle,Queens
Honey,Female,American Pit Bull Mix / Pit Bull Mix,Jan-02,Brown,Staten Island
Samurai,Female,American Pit Bull Mix / Pit Bull Mix,Jan-02,Blond,Brooklyn
Strom,Female,American Pit Bull Mix / Pit Bull Mix,Jan-02,Tan,Manhattan
Sugar,Female,American Pit Bull Mix / Pit Bull Mix,Jan-02,White,Manhattan
Tank,Male,American Pit Bull Mix / Pit Bull Mix,Feb-02,Brindle,Bronx
Trasa,Female,American Pit Bull Mix / Pit Bull Mix,Feb-02,Brown,Brooklyn
Scylla,Female,American Pit Bull Mix / Pit Bull Mix,Apr-02,Brindle,Bronx
Mugsy,Male,American Pit Bull Mix / Pit Bull Mix,May-02,Brindle,Manhattan
Spike,Male,American Pit Bull Mix / Pit Bull Mix,Jun-02,White,Brooklyn
Trippel-O,Female,American Pit Bull Mix / Pit Bull Mix,Jul-02,White,Bronx
Belle,Female,American Pit Bull Mix / Pit Bull Mix,Aug-02,Brindle,Manhattan
Lexus,Female,American Pit Bull Mix / Pit Bull Mix,Sep-02,Charcoal,Bronx
Lizzie,Female,American Pit Bull Mix / Pit Bull Mix,Sep-02,Brindle,Manhattan
Sasha,Female,American Pit Bull Mix / Pit Bull Mix,Sep-02,Tan,Bronx
Ellie,Female,American Pit Bull Mix / Pit Bull Mix,Oct-02,Brown,Brooklyn
Ruckus,Male,American Pit Bull Mix / Pit Bull Mix,Oct-02,Brindle,Brooklyn
Samantha,Female,American Pit Bull Mix / Pit Bull Mix,Oct-02,Black,Brooklyn
Genee,Female,American Pit Bull Mix / Pit Bull Mix,Jan-03,Brown,Bronx
Legba,Male,American Pit Bull Mix / Pit Bull Mix,Jan-03,Black,Brooklyn
Mocha,Female,American Pit Bull Mix / Pit Bull Mix,Jan-03,Tan,Bronx
Moo,Male,American Pit Bull Mix / Pit Bull Mix,Jan-03,Brown,Manhattan
Nemo-Castillo,Male,American Pit Bull Mix / Pit Bull Mix,Jan-03,Gold,Brooklyn
Pete,Male,American Pit Bull Mix / Pit Bull Mix,Jan-03,White,Staten Island
Lizzy,Female,American Pit Bull Mix / Pit Bull Mix,Feb-03,Black,Brooklyn
Reina,Female,American Pit Bull Mix / Pit Bull Mix,Feb-03,Brown,Staten Island
Telli,Female,American Pit Bull Mix / Pit Bull Mix,Feb-03,White,Queens
Chubby,Male,American Pit Bull Mix / Pit Bull Mix,Mar-03,White,Brooklyn
Hunney,Female,American Pit Bull Mix / Pit Bull Mix,Apr-03,Gold,Queens
Loca,Female,American Pit Bull Mix / Pit Bull Mix,May-03,Black,Bronx
Trouble,Male,American Pit Bull Mix / Pit Bull Mix,May-03,Brindle,Manhattan
